INSTNM,STABBR,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10,MD_EARN_WNE_1YR,MD_EARN_WNE_5YR,FTFTPCTPELL,FTFTPCTFLOAN,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CONTROL,CONTROL_PEPS,GRAD_DEBT_MDN10YR_SUPP
Alabama A & M University,AL,1,0,0,0,0,0,0,5196,23167,NA,10024,18634,17500,16000,15000,16600,35500,40628,35983,52246,0.674,0.5039,9520,3090,3440,1,Public,328.6515922
University of Alabama at Birmingham,AL,0,0,0,0,0,0,0,12776,26257,NA,8832,21216,16666,15985,15000,15832,48400,54501,48854,60738,0.3829,0.482,13120,5757,6007,1,Public,236.4171131
Amridge University,AL,0,0,0,0,0,0,0,228,NA,NA,NA,NA,12875,18803,19917,13385,47600,37621,43600,49649,NA,NA,NA,NA,NA,2,Private Nonprofit,341.256971
University of Alabama in Huntsville,AL,0,0,0,0,0,0,0,6985,25777,NA,11878,24770,14502,13075,13954,13905,52000,61767,59815,78740,0.2024,0.3913,11122,4462,4462,1,Public,219.5074586
Alabama State University,AL,1,0,0,0,0,0,0,3296,21900,NA,11068,19396,17750,17000,18500,17500,30600,34502,29446,43913,0.7829,0.8294,6050,3392,5130,1,Public,328.6515922
The University of Alabama,AL,0,0,0,0,0,0,0,31360,31024,NA,11940,32300,17750,18500,17750,17986,51600,59221,47722,62983,0.1916,0.3578,14426,4858,6028,1,Public,241.187862
Central Alabama Community College,AL,0,0,0,0,0,0,0,963,14041,NA,4990,8740,6500,5874,5000,5500,32400,33506,46467,47659,0.5251,0.2192,NA,NA,6524,1,Public,103.5358532
Athens State University,AL,0,0,0,0,0,0,0,2465,NA,NA,NA,NA,15650,14848,13487,14861,42400,50273,43433,50817,NA,NA,NA,NA,NA,1,Public,191.3706417
Auburn University at Montgomery,AL,0,1,0,0,0,0,0,3307,19771,NA,9100,19348,13000,14125,12500,13119,38000,44391,43815,54405,0.5532,0.5029,7368,4030,4030,1,Public,265.0416066
Auburn University,AL,0,0,0,0,0,0,0,25234,33650,NA,12176,32960,18750,18250,16750,17750,56300,65337,50578,68172,0.1146,0.2773,14998,6028,6028,1,Public,222.6349496
Birmingham-Southern College,AL,0,0,0,0,0,0,0,968,35495,NA,21250,21250,12000,17730,16250,16000,53100,59481,30700,56625,0.2869,0.8484,14000,2770,4270,2,Private Nonprofit,265.0416066
Chattahoochee Valley Community College,AL,0,1,0,0,0,0,0,1101,9320,NA,4980,8730,6250,5500,5500,5900,31300,36438,38963,43555,0.6744,0.2151,NA,NA,3276,1,Public,111.3174748
South University-Montgomery,AL,0,0,0,0,0,0,0,315,32195,NA,17014,17014,12643,15278,14700,13000,40200,34421,55439,59826,0.8333,0.9167,NA,NA,5054,3,Proprietary,276.9472756
Enterprise State Community College,AL,0,0,0,0,0,0,0,1359,9452,NA,4920,8670,5362,5552,5500,5500,42700,42572,26648,40313,0.5853,0.2206,NA,NA,5696,1,Public,79.50188033
Coastal Alabama Community College,AL,0,0,0,0,0,0,0,4809,14446,NA,4920,8670,5746,6261,5500,5500,33900,34894,47740,41920,0.533,0.2884,5800,5250,4500,1,Public,116.6183069
Faulkner University,AL,0,1,0,0,0,0,0,1587,36169,NA,23920,23920,15750,14000,14600,15000,40700,43457,42905,46793,0.5978,0.7151,8020,4600,4600,2,Private Nonprofit,243.8382781
Gadsden State Community College,AL,1,0,0,0,0,0,0,3446,10613,NA,3984,6984,PS,PS,PS,PS,30200,32937,37458,43840,0.6416,0,4800,2324,2916,1,Public,PS
New Beginning College of Cosmetology,AL,0,0,0,0,0,0,0,45,NA,17496,NA,NA,5500,PS,PS,6100,NA,NA,11657,17231,0.551,0.0408,NA,NA,NA,3,Proprietary,100.7158105
George C Wallace Community College-Dothan,AL,0,0,0,0,0,0,0,3069,8592,NA,4860,8610,PS,PS,PS,PS,29800,31399,40372,42842,0.5584,0,NA,NA,1000,1,Public,PS
George C Wallace State Community College-Hanceville,AL,0,0,0,0,0,0,0,4207,15488,NA,4920,8670,8200,8000,8250,8200,34800,39842,44726,45791,0.5047,0.2216,4900,8720,8720,1,Public,116.6183069
George C Wallace State Community College-Selma,AL,0,1,0,0,0,0,0,856,9195,NA,4620,8370,PS,PS,PS,PS,27300,31598,35882,39322,0.8174,0,NA,NA,1000,1,Public,PS
Herzing University-Birmingham,AL,0,0,0,0,0,0,0,570,28152,NA,12750,12750,10662,13130,15250,11756,41600,36909,50047,48660,0.5938,0.6875,NA,NA,2601,2,Private Nonprofit,227.9357817
Huntingdon College,AL,0,0,0,0,0,0,0,810,39717,NA,28350,28350,25000,19625,15250,20000,43600,49601,34187,53074,0.428,0.8,10772,2068,2068,2,Private Nonprofit,286.2449352
Heritage Christian University,AL,0,0,0,0,0,0,0,72,17810,NA,11632,11632,PS,PS,PS,PS,PS,42597,NA,NA,1,0,6540,2565,3672,2,Private Nonprofit,PS
J. F. Drake State Community and Technical College,AL,1,0,0,0,0,0,0,698,12078,NA,4890,8640,PS,PS,PS,PS,27600,28281,34491,33135,0.7193,0,NA,NA,2400,1,Public,PS
J F Ingram State Technical College,AL,0,0,0,0,0,0,0,768,6084,NA,4860,4860,PS,PS,PS,PS,NA,NA,NA,NA,0.1067,0,NA,NA,NA,1,Public,PS
Jacksonville State University,AL,0,0,0,0,0,0,0,7066,22153,NA,11952,21912,14000,14250,14000,14000,38100,45235,42602,51119,0.5847,0.569,8640,2400,3318,1,Public,235.2403284
Jefferson State Community College,AL,0,0,0,0,0,0,0,5550,14677,NA,5220,8910,3500,4500,5500,4500,33800,40719,51892,51020,0.4859,0.2564,NA,NA,4871,1,Public,102.7195251
John C Calhoun State Community College,AL,0,0,0,0,0,0,0,6549,11532,NA,5000,8750,6126,5500,6500,6010,32200,38192,43676,47398,0.4537,0.2032,NA,NA,4200,1,Public,127.2199712
Lawson State Community College,AL,1,0,0,0,0,0,0,2554,14471,NA,4920,8670,PS,PS,PS,PS,26600,31701,33056,39094,0.7653,0,4760,3000,5807,1,Public,PS
University of West Alabama,AL,0,1,0,0,0,0,0,2424,22456,NA,10990,20090,12500,13250,13000,13000,40400,44232,53604,53277,0.6151,0.648,7820,3600,3600,1,Public,264.4479134
Lurleen B Wallace Community College,AL,0,0,0,0,0,0,0,1111,10125,NA,4920,8670,PS,PS,PS,PS,32000,32307,31975,40970,0.6319,0,5550,3625,3625,1,Public,PS
Marion Military Institute,AL,0,0,0,0,0,0,0,320,18368,NA,9538,15538,4750,5500,5500,5500,49800,59644,27114,45508,0.3743,0.3128,4950,2170,NA,1,Public,98.06539446
Miles College,AL,1,0,0,0,0,0,0,1257,22653,NA,12714,12714,16500,14250,15000,15691,29500,32627,NA,38671,0.7666,0.5915,7348,2832,2992,2,Private Nonprofit,330.9521534
University of Mobile,AL,0,0,0,0,0,0,0,1108,37908,NA,25880,25880,22223,18750,14300,19000,38700,43611,39717,46035,0.404,0.636,10676,4750,4800,2,Private Nonprofit,280.944103
University of Montevallo,AL,0,0,0,0,0,0,0,2128,26185,NA,13710,26730,15745,19500,14625,16000,36100,42957,32438,44835,0.4079,0.5209,10135,3180,3440,1,Public,254.4399424
Northwest Shoals Community College,AL,0,0,0,0,0,0,0,2026,10919,NA,5011,8761,5500,5500,5500,5500,30800,33828,35767,54130,0.5882,0.1887,NA,NA,3060,1,Public,106.0166427
University of North Alabama,AL,0,0,0,0,0,0,0,5408,21621,NA,11220,21420,16250,15000,16799,15781,42800,45415,40636,51301,0.3411,0.3594,7730,2800,2800,1,Public,234.052942
Northeast Alabama Community College,AL,0,0,0,0,0,0,0,1565,9660,NA,4920,8670,3500,3500,5850,4400,31700,34913,36190,39669,0.6278,0.1364,NA,NA,3300,1,Public,64.67015202
Oakwood University,AL,1,0,0,0,0,0,0,1378,38377,NA,20040,20040,20500,20750,21500,21500,37400,42488,29366,51429,0.4607,0.5393,9384,8000,8000,2,Private Nonprofit,286.2449352
Reid State Technical College,AL,0,0,0,0,0,0,0,281,11482,NA,4950,8700,PS,PS,PS,PS,26800,28982,35385,35323,0.6849,0,NA,NA,1500,1,Public,PS
Bishop State Community College,AL,1,0,0,0,0,0,0,1943,11616,NA,4920,8670,PS,PS,PS,PS,28300,29916,35298,37952,0.6988,0,NA,NA,2700,1,Public,PS
Samford University,AL,0,0,0,0,0,0,0,3668,52514,NA,36725,36725,18538,17494,15000,15750,59800,58469,45463,58732,0.1111,0.3279,11264,4945,5475,2,Private Nonprofit,206.7324532
Selma University,AL,1,0,0,0,0,0,0,30,NA,NA,4800,4800,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,2500,2,Private Nonprofit,NA
Shelton State Community College,AL,1,0,0,0,0,0,0,3257,15065,NA,4980,8730,PS,PS,PS,PS,31100,35014,40647,46063,0.5189,0,NA,NA,3320,1,Public,PS
Snead State Community College,AL,0,0,0,0,0,0,0,1494,12800,NA,5408,9408,5750,6875,6956,6450,30700,35735,33687,39738,0.6516,0.1496,4675,3939,3939,1,Public,95.41497839
University of South Alabama,AL,0,0,0,0,0,0,0,8171,22667,NA,9116,17732,18750,17508,16500,17750,46800,49379,46120,55913,0.4363,0.5465,8510,4779,4779,1,Public,264.2888885
Spring Hill College,AL,0,0,0,0,0,0,0,932,35488,NA,21732,21732,19500,20000,23125,21500,51300,51500,NA,NA,0.3426,0.5509,11784,3606,4020,2,Private Nonprofit,286.2449352
Stillman College,AL,1,0,0,0,0,0,0,727,25678,NA,11392,11392,16375,14250,20344,16000,33700,35421,27887,37455,0.6667,0.596,10054,4572,4572,2,Private Nonprofit,308.1585752
Talladega College,AL,1,0,0,0,0,0,0,832,22267,NA,13866,13866,14750,16750,12500,15000,23900,32229,27158,37064,0.7131,0.6624,8934,3700,3700,2,Private Nonprofit,302.1474316
H Councill Trenholm State Community College,AL,1,0,0,0,0,0,0,1599,12688,NA,4830,8580,PS,PS,PS,PS,28000,32183,39198,33680,0.8108,0,NA,NA,4000,1,Public,PS
Troy University,AL,0,0,0,0,0,0,0,10316,22005,NA,9312,18624,17000,15000,15000,15985,41100,42062,41851,50885,0.4618,0.851,7599,4766,4766,1,Public,265.0416066
Tuskegee University,AL,1,0,0,0,0,0,0,2100,41924,NA,22614,22614,22937,21500,19500,21250,42200,49641,46117,60741,0.5945,0.5761,9844,7654,4855,2,Private Nonprofit,286.2449352
United States Sports Academy,AL,0,0,0,0,0,0,0,94,NA,NA,16418,16418,10819,PS,PS,10976,PS,55257,47424,53760,NA,NA,NA,NA,3000,2,Private Nonprofit,PS
Bevill State Community College,AL,0,0,0,0,0,0,0,2205,15002,NA,5278,9278,PS,PS,PS,PS,31300,34107,44447,49583,0.5311,0,4576,5616,6488,1,Public,PS
University of Alaska Anchorage,AK,0,0,0,0,0,0,0,6778,23461,NA,7508,21635,12500,11222,10250,11231,51200,51871,51493,63190,0.3308,0.194,12662,8022,9922,1,Public,214.2596348
Alaska Bible College,AK,0,0,0,0,0,0,0,31,19679,NA,10900,10900,PS,PS,PS,PS,NA,NA,NA,NA,0.3333,0.1667,7000,3801,5253,2,Private Nonprofit,PS
University of Alaska Fairbanks,AK,0,0,1,0,0,0,1,4010,19814,NA,7896,22032,12136,11191,11000,11283,45100,48866,48072,58051,0.2491,0.21,10650,2650,4250,1,Public,215.1183696
University of Alaska Southeast,AK,0,0,1,0,0,0,1,964,17471,NA,6960,21096,12498,10000,8258,10500,39500,48475,49148,59401,0.3063,0.2703,9830,2448,3716,1,Public,202.6084058
Alaska Pacific University,AK,0,0,1,0,0,0,1,457,36422,NA,20760,20760,11250,11000,16000,12696,45300,54271,39063,61353,0.4286,0.4857,8300,4410,4410,2,Private Nonprofit,249.1391102
Alaska Vocational Technical Center,AK,0,0,0,0,0,0,0,202,NA,23745,NA,NA,PS,PS,PS,5500,45600,51083,37333,41839,0.2128,0.0426,NA,NA,NA,1,Public,PS
Charter College,AK,0,0,0,0,0,0,0,2117,30947,NA,17116,17116,12051,12000,9750,11884,46400,35504,33760,39410,0.666,0.7996,NA,NA,8284,3,Proprietary,150.2891926
Alaska Career College,AK,0,0,0,0,0,0,0,268,NA,22844,NA,NA,7199,6397,5500,7199,32000,34468,36187,36342,0.525,0.5656,NA,NA,NA,3,Proprietary,78.20847729
Empire Beauty School-Tucson,AZ,0,0,0,0,0,0,0,184,NA,20641,NA,NA,7955,8028,8025,8028,24500,25073,16480,21796,0.4458,0.4096,NA,NA,NA,3,Proprietary,137.8216355
Carrington College-Phoenix North,AZ,0,0,0,0,0,0,0,1047,NA,30659,NA,NA,9229,9496,9500,9298,27200,36718,31639,35466,0.7654,0.715,NA,NA,NA,3,Proprietary,100.7158105
Carrington College-Mesa,AZ,0,0,0,0,0,0,0,532,NA,44993,NA,NA,9229,9496,9500,9298,27200,36718,31639,35466,0.6778,0.728,NA,NA,NA,3,Proprietary,100.7158105
Carrington College-Tucson,AZ,0,0,0,0,0,0,0,446,NA,31794,NA,NA,9229,9496,9500,9298,27200,36718,31639,35466,0.7986,0.7986,NA,NA,NA,3,Proprietary,100.7158105
Arizona Academy of Beauty,AZ,0,0,0,0,0,0,0,34,NA,20321,NA,NA,PS,PS,PS,4750,18800,21201,14249,NA,0.75,1,NA,NA,NA,3,Proprietary,55.65873739
Miller-Motte College-Arizona Automotive Institute,AZ,0,0,0,0,0,0,0,411,NA,27409,NA,NA,10657,11457,9111,10661,28100,31102,25335,31123,0.8273,0.741,NA,NA,NA,3,Proprietary,168.7466901
Brookline College-Phoenix,AZ,0,0,0,0,0,0,0,841,NA,39030,NA,NA,9491,9500,11758,9500,23700,29576,35191,37138,0.6389,0.5417,NA,NA,NA,3,Proprietary,100.7158105
Arizona State University Campus Immersion,AZ,0,0,0,0,0,1,0,64778,26937,NA,11618,30592,13750,13750,13245,13610,55500,62668,48210,64510,0.3006,0.2869,14718,3471,4461,1,Public,206.7324532
Arizona Western College,AZ,0,0,0,0,0,1,0,7595,15695,NA,2960,9770,4500,4500,2750,4500,32000,36857,29550,46791,0.7087,0.0019,7968,5981,8471,1,Public,51.16363174
University of Arizona,AZ,0,0,0,0,0,1,0,37979,27682,NA,13275,39577,13000,13770,14000,13750,56000,59979,44998,64522,0.2415,0.244,13650,3800,3800,1,Public,208.0046529
Central Arizona College,AZ,0,0,0,0,0,1,0,4402,11627,NA,1500,3000,6804,6469,5500,6157,31500,40513,35791,45993,0.3468,0.0405,7300,2815,2815,1,Public,106.1226593
Charles of Italy Beauty College,AZ,0,0,0,0,0,0,0,85,NA,16199,NA,NA,PS,PS,PS,7000,22600,26269,12021,20389,0.5517,0.5287,NA,NA,NA,3,Proprietary,78.32509559
Cochise County Community College District,AZ,0,0,0,0,0,1,0,3032,12971,NA,2184,6000,6500,5250,5500,5500,34300,38033,40727,52118,0.6458,0.0568,7462,2791,3426,1,Public,71.56123379
Empire Beauty School-Chandler,AZ,0,0,0,0,0,0,0,60,NA,20240,NA,NA,7667,7972,7917,7851,22000,23921,15803,22600,0.72,0.68,NA,NA,NA,3,Proprietary,113.0879527
Avalon Institute-Mesa,AZ,0,0,0,0,0,0,0,383,NA,19135,NA,NA,6285,6332,5500,6312,23000,30803,21447,28487,0.6596,0.7589,NA,NA,NA,3,Proprietary,67.12973813
Eastern Arizona College,AZ,0,0,0,0,0,1,0,2942,15230,NA,2232,9192,PS,PS,PS,PS,35700,38018,27333,46805,0.4057,0,7950,3836,5010,1,Public,PS
Embry-Riddle Aeronautical University-Prescott,AZ,0,0,0,0,0,0,0,3114,58036,NA,40464,40464,15000,13000,14750,14250,70300,84131,67135,89839,0.1855,0.4556,13160,5134,5134,2,Private Nonprofit,250.8989865
The School of Architecture,AZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,PS,PS,PS,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Private Nonprofit,PS
Glendale Community College,AZ,0,0,0,0,0,1,0,9807,16231,NA,2070,7854,5000,4081,3500,4500,38300,43108,67419,51429,0.4831,0.0595,NA,NA,11241,1,Public,73.78758329
Grand Canyon University,AZ,0,0,0,0,0,0,0,65147,31440,NA,17800,17800,10764,13842,15000,12500,58500,42186,62543,78861,0.3032,0.576,7800,5700,5700,3,Proprietary,234.4452036
GateWay Community College,AZ,0,0,0,0,0,1,0,3470,17711,NA,2070,7854,4500,4500,4500,4500,39000,46147,53649,59678,0.5615,0.0909,NA,NA,10872,1,Public,71.56123379
Mesa Community College,AZ,0,0,0,0,0,1,0,11351,17128,NA,2070,7854,4603,4500,3500,4500,41500,44034,60009,52808,0.4156,0.0851,NA,NA,10872,1,Public,79.22623706
Mohave Community College,AZ,0,0,0,0,0,1,0,2791,11230,NA,2136,7008,9500,5938,4125,8000,32900,35522,48456,45049,0.5818,0.1091,NA,NA,3627,1,Public,102.8361434
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,0,0,0,0,0,0,0,658,NA,25304,NA,NA,10588,10827,10239,10247,41600,48341,36758,46718,0.5288,0.7093,NA,NA,NA,3,Proprietary,138.8499969
Dine College,AZ,0,0,0,1,0,0,0,1361,14048,NA,1410,1410,PS,PS,PS,PS,23400,29188,29717,35432,0.7344,0,4940,4950,7260,1,Public,PS
Northern Arizona University,AZ,0,0,0,0,0,1,0,23090,28648,NA,12274,27536,12500,12500,13533,12916,44600,54384,45100,57682,0.318,0.3841,11728,4300,4300,1,Public,201.431621
Northland Pioneer College,AZ,0,0,0,0,0,0,1,1075,15097,NA,2428,9851,PS,PS,PS,PS,31300,34199,42356,NA,0.56,0,NA,NA,5500,1,Public,PS
Phoenix College,AZ,0,0,0,0,0,1,0,6588,16957,NA,2070,7854,5250,4500,5250,5250,36000,40870,45651,48906,0.5852,0.0543,NA,NA,11241,1,Public,71.56123379
Pima Community College,AZ,0,0,0,0,0,1,0,13328,8742,NA,2298,7614,4875,3911,3500,4500,35000,39810,41028,45898,0.5439,0.0772,NA,NA,3234,1,Public,74.21164986
Pima Medical Institute-Tucson,AZ,0,0,0,0,0,0,0,2477,NA,NA,NA,NA,9500,9500,9500,9500,30600,38673,33913,39823,0.7302,0.8163,NA,NA,NA,3,Proprietary,100.7158105
Pima Medical Institute-Albuquerque,NM,0,0,0,0,0,0,0,690,NA,26586,NA,NA,4788,5348,5500,5250,PS,30917,30953,34214,0.7632,0.7009,NA,NA,NA,3,Proprietary,58.30915346
Prescott College,AZ,0,0,0,0,0,0,0,313,45439,NA,35450,35450,12500,12793,10500,12500,34300,42359,31678,38252,0.4167,0.6667,9520,1923,1923,2,Private Nonprofit,172.8071275
Refrigeration School Inc,AZ,0,0,0,0,0,0,0,990,NA,30788,NA,NA,7917,7917,7072,7917,45000,52953,41259,50810,0.6735,0.7397,NA,NA,NA,3,Proprietary,87.2835019
Rio Salado College,AZ,0,0,0,0,0,1,0,3999,11938,NA,2070,7854,4500,4500,3500,4375,43400,41015,47539,52252,0.3226,0.129,NA,NA,3683,1,Public,100.7158105
Roberto-Venn School of Luthiery,AZ,0,0,0,0,0,0,0,27,NA,27070,NA,NA,PS,PS,PS,7307,29000,35209,22626,36163,0.0714,0.2857,NA,NA,NA,3,Proprietary,PS
Scottsdale Community College,AZ,0,0,0,0,0,1,0,4245,18529,NA,2070,7854,5243,4222,3500,4500,42500,47905,49338,50244,0.3366,0.0874,NA,NA,11241,1,Public,84.81331412
South Mountain Community College,AZ,0,0,0,0,0,1,0,2192,16406,NA,2070,7854,4847,4500,3839,4500,33400,39825,37026,44302,0.5677,0.0437,NA,NA,11241,1,Public,84.81331412
Arizona Christian University,AZ,0,0,0,0,0,1,0,1028,47865,NA,31650,31650,6500,6250,5500,6251,34900,51612,37322,47405,0.3619,0.8698,12000,5700,7100,2,Private Nonprofit,243.8382781
Universal Technical Institute of Arizona Inc,AZ,0,0,0,0,0,0,0,1972,NA,29601,NA,NA,10827,11688,11495,11183,48100,52873,39768,54551,0.5732,0.769,NA,NA,NA,3,Proprietary,139.1362418
Yavapai College,AZ,0,0,0,0,0,0,0,3577,12681,NA,2680,9340,7500,6750,5500,6762,34000,39890,50395,48058,0.4,0.07,10520,2492,2492,1,Public,95.41497839
University of Arkansas at Little Rock,AR,0,0,0,0,0,0,0,4802,21300,NA,8366,18957,15500,14250,12000,14500,39500,45265,47477,56583,0.5045,0.3049,9162,6059,5674,1,Public,233.2366138
University of Arkansas for Medical Sciences,AR,0,0,0,0,0,0,0,1287,NA,NA,NA,NA,16408,12500,12500,13000,69000,73827,64726,73406,NA,NA,NA,NA,NA,1,Public,148.4232997
Arkansas Baptist College,AR,1,0,0,0,0,0,0,497,22715,NA,8760,8760,9250,5500,6500,8250,25100,28418,NA,37953,0.6866,0.6493,8826,4474,4474,2,Private Nonprofit,269.0172307
Arkansas Beauty School-Little Rock,AR,0,0,0,0,0,0,0,98,NA,27731,NA,NA,6333,PS,PS,6333,16400,18078,21066,20677,0.8929,0.9286,NA,NA,NA,3,Proprietary,67.14033979
Arkansas Beauty College,AR,0,0,0,0,0,0,0,29,NA,14957,NA,NA,PS,PS,PS,7000,PS,16857,NA,19557,0.5593,0.5932,NA,NA,NA,3,Proprietary,PS
Lyon College,AR,0,0,0,0,0,0,0,489,44749,NA,31000,31000,9500,11000,11185,10699,44800,44232,NA,45744,0.3696,0.6812,10750,2500,2850,2,Private Nonprofit,227.9357817
Arkansas Technical School,AR,0,0,0,0,0,0,0,60,NA,25284,NA,NA,PS,PS,PS,9833,19000,16209,16544,21057,0.75,1,NA,NA,NA,3,Proprietary,174.9274604
Arthur's Beauty College,AR,0,0,0,0,0,0,0,16,NA,18702,NA,NA,9300,PS,PS,9500,19600,21470,14145,13290,0.9333,0.5333,NA,NA,NA,3,Proprietary,111.3174748
University of Arkansas,AR,0,0,0,0,0,0,0,26002,24611,NA,9656,27410,15000,15250,16750,15749,52700,58191,47767,64153,0.175,0.3912,12368,5176,5176,1,Public,227.9357817
University of Arkansas at Pine Bluff,AR,1,0,0,0,0,0,0,2155,19968,NA,8668,15838,14250,14250,15000,14328,30600,35550,32132,41710,0.7508,0.5831,8866,3790,4820,1,Public,256.5814786
Arkansas State University-Beebe,AR,0,0,0,0,0,0,0,1829,15851,NA,3024,4728,6188,5949,5500,5500,32900,36603,27443,38971,0.5629,0.0882,5600,7158,8130,1,Public,85.7992689
Arkansas State University,AR,0,0,0,0,0,0,0,7463,21176,NA,7456,13312,16000,14421,14750,15000,36600,42617,45510,49159,0.3959,0.4865,10100,5747,6518,1,Public,217.3341174
Arkansas Tech University,AR,0,0,0,0,0,0,0,6108,20919,NA,8071,13891,11750,11671,10477,11350,38600,41766,40548,45974,0.5034,0.4353,9157,3733,4785,1,Public,222.6349496
University of Arkansas at Monticello,AR,0,0,0,0,0,0,0,1819,19068,NA,8431,14281,11179,11828,11750,11364,35800,36902,38405,45273,0.5607,0.449,7320,4822,6292,1,Public,211.725837
Arthur's Beauty College,AR,0,0,0,0,0,0,0,37,NA,17357,NA,NA,7599,PS,PS,7931,18500,21954,14379,23757,0.8,0.8,NA,NA,NA,3,Proprietary,104.2461647
Baptist Health College Little Rock,AR,0,0,0,0,0,0,0,549,NA,NA,12938,12938,9500,9589,8750,9500,48100,62244,59275,64188,NA,NA,NA,NA,8690,2,Private Nonprofit,106.0166427
Black River Technical College,AR,0,0,0,0,0,0,0,1003,13691,NA,4440,6888,6937,6000,5500,6000,29100,34818,39431,38319,0.623,0.082,NA,NA,4638,1,Public,100.7158105
University of Central Arkansas,AR,0,0,0,0,0,0,0,7563,23167,NA,9778,16728,12981,13500,12713,13000,42500,45938,39167,51207,0.4448,0.5078,8250,5420,7565,1,Public,215.7014611
Central Baptist College,AR,0,0,0,0,0,0,0,489,28293,NA,17700,17700,13382,12000,14000,12876,43000,46789,39020,44600,0.375,0.4779,7500,2622,2960,2,Private Nonprofit,235.8870299
Cossatot Community College of the University of Arkansas,AR,0,0,0,0,0,1,0,833,11376,NA,3620,4460,PS,PS,PS,PS,28000,33775,30182,40389,0.6821,0,NA,NA,4471,1,Public,PS
Crowley's Ridge College,AR,0,0,0,0,0,0,0,171,23894,NA,15000,15000,10500,13375,22500,13918,29600,39533,32205,42506,0.5385,0.75,6900,3987,3717,2,Private Nonprofit,278.0604504
East Arkansas Community College,AR,0,0,0,0,0,0,0,519,13976,NA,2910,3810,4500,5963,3875,4750,26800,28471,33549,33929,0.8033,0.041,NA,NA,4770,1,Public,63.60998559
Paul Mitchell the School-Little Rock,AR,0,0,0,0,0,0,0,358,NA,25470,NA,NA,9833,9524,9833,9833,PS,24765,14895,20646,0.7551,0.898,NA,NA,NA,3,Proprietary,113.7028492
National Park College,AR,0,0,0,0,0,0,0,1809,13759,NA,5200,6880,7000,5500,5500,6250,28100,32444,41073,39482,0.6992,0.2311,6453,4021,2400,1,Public,111.3174748
University of Arkansas Community College-Batesville,AR,0,0,0,0,0,0,0,694,14375,NA,2766,3750,8200,6500,5305,7085,30300,33706,39161,51429,0.676,0.0503,NA,NA,8820,1,Public,108.6670587
Harding University,AR,0,0,0,0,0,0,0,3198,34168,NA,23148,23148,22214,23125,21480,21601,47000,52876,40752,54368,0.2177,0.4704,7984,3532,3532,2,Private Nonprofit,280.944103
Henderson State University,AR,0,0,0,0,0,0,0,1800,26032,NA,7560,9768,12000,11878,12000,12000,40400,43459,36411,45771,0.4688,0.4399,9558,7378,7794,1,Public,206.7324532
Hendrix College,AR,0,0,0,0,0,0,0,1127,49928,NA,35100,35100,19488,20750,19500,19500,44500,60376,26349,49579,0.2127,0.4667,13600,2900,2900,2,Private Nonprofit,282.9372159
Hot Springs Beauty College,AR,0,0,0,0,0,0,0,90,NA,19027,NA,NA,PS,PS,PS,8000,PS,21563,NA,18046,0.8261,0.7391,NA,NA,NA,3,Proprietary,102.8361434
Jefferson Regional School of Nursing,AR,0,0,0,0,0,0,0,69,NA,NA,NA,NA,6495,PS,PS,7500,PS,73975,67673,72423,NA,NA,NA,NA,NA,2,Private Nonprofit,PS
John Brown University,AR,0,0,0,0,0,0,0,1354,42128,NA,29720,29720,15735,17489,16750,17000,55400,53907,41767,54645,0.2584,0.4559,9920,2820,2850,2,Private Nonprofit,225.2853656
Career Academy of Hair Design,AR,0,0,0,0,0,0,0,230,NA,17759,NA,NA,6333,5481,5857,5531,23600,21567,16286,20726,0.6864,0.5503,NA,NA,NA,3,Proprietary,67.47959305
Academy of Salon and Spa,AR,0,0,0,0,0,0,0,67,NA,17515,NA,NA,3742,PS,PS,4398,PS,16941,19432,19139,0.7619,0.7857,NA,NA,NA,3,Proprietary,51.23784339
Arkansas State University Mid-South,AR,0,1,0,0,0,0,0,455,15906,NA,2818,4258,PS,PS,PS,PS,26700,31857,37258,35605,0.7059,0,NA,NA,4936,1,Public,PS
Arkansas Northeastern College,AR,0,0,0,0,0,0,0,748,10453,NA,2542,4222,PS,PS,PS,PS,30800,33169,35124,40990,0.5951,0,NA,NA,4977,1,Public,PS
New Tyler Barber College Inc,AR,0,0,0,0,0,0,0,28,NA,22234,NA,NA,PS,PS,PS,9500,19200,18715,14698,17652,0.8333,0.5,NA,NA,NA,3,Proprietary,PS
North Arkansas College,AR,0,0,0,0,0,0,0,1121,13786,NA,2760,5136,7725,5734,4511,5928,28900,34653,34202,40397,0.5634,0.0634,6000,6947,6947,1,Public,95.41497839
Northwest Technical Institute,AR,0,0,0,0,0,0,0,201,11129,NA,5184,5184,PS,PS,PS,PS,32500,41513,41988,44597,0.7368,0,NA,NA,3073,1,Public,PS
