ST_CASE,YEAR,STATE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
10019,2021,1,57,1,1,4,1,2,4,2,4,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10020,2021,1,125,1,1,4,2,2,4,2,3,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10021,2021,1,73,1,1,4,2,2,4,2,4,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10022,2021,1,97,1,1,4,2,2,1,1,3,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10023,2021,1,51,2,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10024,2021,1,97,1,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10025,2021,1,59,1,1,4,1,2,1,1,5,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10026,2021,1,31,1,1,4,2,2,1,1,5,1,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,0,0,0
10027,2021,1,81,1,1,4,2,2,1,1,3,1,4,2,1,3,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10028,2021,1,43,1,1,4,2,2,1,1,4,1,3,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10029,2021,1,31,1,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10030,2021,1,79,1,1,4,1,2,1,1,3,1,4,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10031,2021,1,127,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10032,2021,1,103,1,1,4,2,2,1,1,3,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10033,2021,1,73,1,1,4,2,2,4,2,6,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10034,2021,1,121,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10035,2021,1,109,1,1,4,1,2,4,2,5,2,1,1,1,1,13,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10036,2021,1,97,1,1,4,2,2,4,2,6,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10037,2021,1,97,2,1,4,1,2,1,2,4,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10038,2021,1,115,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10039,2021,1,1,1,1,4,2,2,1,1,4,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10040,2021,1,85,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10041,2021,1,117,1,1,4,1,2,4,2,6,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10042,2021,1,49,1,1,4,1,2,1,2,5,2,3,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10043,2021,1,97,1,1,4,2,2,1,1,6,1,4,2,2,2,13,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10044,2021,1,117,1,1,4,1,2,4,2,3,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10045,2021,1,103,1,1,4,2,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10046,2021,1,81,1,1,4,1,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10047,2021,1,89,1,1,4,2,2,4,2,5,2,1,2,2,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10048,2021,1,131,1,1,4,1,2,4,2,4,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10049,2021,1,89,1,1,4,2,2,1,2,4,3,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10050,2021,1,15,1,1,4,2,2,1,1,3,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10051,2021,1,101,1,1,4,2,2,1,2,5,2,1,2,2,3,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10053,2021,1,45,1,1,4,1,2,1,2,5,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10054,2021,1,71,1,1,4,1,2,4,2,4,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10055,2021,1,15,1,1,4,2,2,1,2,4,2,3,2,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10056,2021,1,89,1,1,4,2,2,1,2,5,2,1,2,1,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10057,2021,1,87,1,1,4,2,2,1,1,4,1,4,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10058,2021,1,89,1,1,4,2,2,1,1,5,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,1,2,0,0,0
10059,2021,1,113,1,1,4,2,2,1,1,3,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10060,2021,1,89,1,1,4,2,2,4,2,4,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10061,2021,1,123,1,1,4,1,2,4,2,4,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10062,2021,1,47,1,1,4,1,2,1,2,4,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10063,2021,1,81,1,1,4,2,2,1,1,5,1,4,1,1,3,1,2,1,1,2,2,2,2,2,2,3,1,1,1,1,2,1,1,2,2,2,2,0,0,0
10064,2021,1,3,1,1,4,2,2,1,2,3,3,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0
10065,2021,1,133,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,1,2,1,2,0,0,0
10066,2021,1,73,1,1,4,2,2,4,2,4,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10067,2021,1,51,1,1,4,1,2,1,2,4,2,2,1,2,3,1,2,2,1,2,2,2,2,1,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,0
10068,2021,1,125,1,1,4,1,2,4,2,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10069,2021,1,97,1,1,4,2,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10070,2021,1,45,1,1,4,2,2,4,2,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10071,2021,1,71,2,1,4,1,2,1,2,4,2,3,2,2,2,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,0,0,0
10072,2021,1,101,1,1,4,2,2,4,2,4,2,1,3,3,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10073,2021,1,83,2,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10074,2021,1,3,1,1,4,1,2,1,2,5,2,4,1,1,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10075,2021,1,15,1,1,4,2,2,1,2,4,2,1,2,1,1,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10076,2021,1,81,1,1,4,1,2,4,2,5,2,1,1,1,2,13,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10077,2021,1,51,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10078,2021,1,127,1,1,4,1,2,4,2,6,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10079,2021,1,113,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10080,2021,1,19,1,1,4,1,2,4,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10081,2021,1,43,1,1,4,1,2,1,1,4,1,4,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10082,2021,1,73,1,1,4,2,2,1,2,3,2,1,2,1,2,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10083,2021,1,65,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10084,2021,1,49,1,1,4,1,2,4,2,6,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10085,2021,1,87,1,1,4,2,2,4,2,5,2,1,2,1,1,6,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10086,2021,1,97,1,1,4,2,2,1,2,4,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10087,2021,1,87,1,1,4,1,2,4,2,4,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10088,2021,1,55,1,1,4,1,2,4,2,6,2,1,1,1,1,13,2,2,1,2,2,2,2,1,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10089,2021,1,19,1,1,4,1,2,4,2,6,2,1,2,2,1,13,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,1,2,0,0,0
10090,2021,1,97,1,1,4,2,2,4,2,4,2,1,2,2,1,13,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,0,0,0
10091,2021,1,113,1,1,4,2,2,4,2,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10092,2021,1,125,1,1,4,2,2,4,1,6,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10093,2021,1,125,2,1,4,2,2,1,1,3,1,4,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10094,2021,1,3,2,1,4,1,1,1,2,1,2,3,2,2,2,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10095,2021,1,73,1,1,4,2,2,4,1,6,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10096,2021,1,73,1,1,4,2,2,1,1,4,1,4,1,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10097,2021,1,73,1,1,4,2,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10098,2021,1,9,1,1,4,1,2,1,2,3,2,3,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10099,2021,1,97,1,1,4,2,1,4,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10100,2021,1,21,1,1,4,1,2,4,2,6,2,1,1,1,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10101,2021,1,97,1,1,4,2,2,1,2,6,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10102,2021,1,127,1,1,4,2,2,4,2,5,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10103,2021,1,97,1,1,4,2,2,4,2,4,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10104,2021,1,69,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10105,2021,1,23,2,1,4,1,2,1,2,3,2,4,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10106,2021,1,67,1,1,4,1,2,4,2,3,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10107,2021,1,43,1,1,4,2,2,1,1,3,1,4,1,2,2,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,0,0,0
10108,2021,1,119,2,1,4,1,2,4,2,4,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10110,2021,1,47,1,1,4,1,2,4,2,4,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10111,2021,1,23,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10112,2021,1,43,1,1,4,2,2,1,2,3,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10113,2021,1,31,1,1,4,1,2,1,1,4,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10114,2021,1,65,2,1,4,1,2,1,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10115,2021,1,13,1,1,4,1,2,1,2,4,2,3,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10116,2021,1,1,1,1,4,1,1,1,2,1,2,1,2,1,1,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10117,2021,1,3,1,1,4,2,2,4,1,3,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10118,2021,1,91,1,1,4,2,2,1,1,6,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10119,2021,1,115,1,1,4,2,2,1,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10120,2021,1,73,1,1,4,2,2,4,2,6,2,1,1,2,1,13,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10121,2021,1,73,2,1,4,2,1,1,2,1,2,6,1,2,2,13,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10122,2021,1,45,1,1,4,1,2,4,2,5,2,1,2,2,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10123,2021,1,101,1,1,4,2,2,1,2,3,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10124,2021,1,11,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10125,2021,1,115,1,1,4,1,2,4,2,6,2,1,2,2,1,6,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10126,2021,1,117,1,1,4,2,2,4,2,5,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10127,2021,1,5,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10128,2021,1,89,1,1,4,2,2,4,2,3,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10129,2021,1,49,1,1,4,1,2,4,2,4,2,1,2,2,1,13,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10130,2021,1,5,1,1,4,2,2,1,2,3,3,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10131,2021,1,47,1,1,4,2,2,4,2,5,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10132,2021,1,101,1,1,4,2,2,1,1,6,1,4,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10133,2021,1,9,1,1,4,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,0,0,0
10134,2021,1,1,3,1,4,2,2,1,2,3,2,5,1,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10135,2021,1,125,1,1,4,1,2,1,1,5,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10136,2021,1,11,1,1,4,1,2,4,2,4,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10137,2021,1,71,1,1,4,1,2,3,1,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10138,2021,1,3,2,1,4,2,2,1,2,4,2,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10139,2021,1,73,2,1,4,2,1,3,2,1,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10140,2021,1,97,2,1,4,2,2,4,1,3,1,1,2,2,1,13,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10141,2021,1,1,1,1,4,1,2,1,1,3,1,4,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10142,2021,1,1,1,1,4,1,2,1,2,5,2,5,1,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10143,2021,1,47,1,1,4,1,2,1,1,4,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10144,2021,1,73,1,1,4,2,1,4,2,1,2,1,2,2,1,13,2,2,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10145,2021,1,51,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,2,0,0,0
10146,2021,1,121,2,1,4,1,2,1,1,4,1,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10147,2021,1,73,1,1,4,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10148,2021,1,61,1,1,4,1,2,3,2,4,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10149,2021,1,43,1,1,4,1,2,4,2,5,2,1,1,1,1,13,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10150,2021,1,77,1,1,4,2,2,1,1,3,1,4,2,1,2,6,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10151,2021,1,125,1,1,4,1,2,1,1,4,1,4,1,1,2,13,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10152,2021,1,89,2,1,4,2,2,1,2,3,3,4,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10153,2021,1,33,1,1,4,1,2,4,1,4,1,1,2,2,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10154,2021,1,113,1,1,4,2,2,1,2,3,3,4,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,2,1,2,2,2,2,0,0,0
10155,2021,1,113,1,1,4,2,2,4,2,3,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10156,2021,1,73,1,1,4,2,2,1,2,6,2,3,1,2,3,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,0,0,0
10157,2021,1,77,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10158,2021,1,79,1,1,4,1,2,1,2,3,3,4,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
